,Character,Category
1799,Bebe Stevens (make-up),Alter Egos
1800,Butters Stotch (Picture Day),Alter Egos
1801,Kenny McCormick (ass-faced),Alter Egos
1802,KKK Cartman (Pinkeye),Alter Egos
1803,Raggedy Andy (Pinkeye),Alter Egos
1804,Chewbacca Kyle (Pinkeye),Alter Egos
1805,Zombie Kenny (Pinkeye),Alter Egos
1806,Chewbacca Bill and Fosse,Alter Egos
1807,Wendy Chewbacca (Pinkeye),Alter Egos
1808,Marolyn Monroe Garrison (Pinkeye),Alter Egos
1809,Mr Hat Chewbacca (Pinkeye),Alter Egos
1810,Solar System Kyle (Pinkeye),Alter Egos
1811,Vampire Kyle (Pinkeye),Alter Egos
1812,Evel Knievel Chef (Pinkeye),Alter Egos
1813,Michael Jackson Chef (Pinkeye),Alter Egos
1814,Witch Ms. Cartman,Alter Egos
1815,Clown Kyle,Alter Egos
1816,Cowboy Stan,Alter Egos
1817,Robot Kenny,Alter Egos
1818,Wearpercaun (Butters),Alter Egos
1819,Gangnam Jimmy,Alter Egos
1820,Gangnam Craig,Alter Egos
1821,Gangnamstein,Alter Egos
1822,Ryan Gosling Garrison (Drive),Alter Egos
1823,Gangnam Mackey,Alter Egos
1824,Finn (Adventure Time),Alter Egos
1825,The Shining Randy,Alter Egos
1826,Banana Man,Alter Egos
1827,Iron Kenny,Alter Egos
1828,Almighty Kyle,Alter Egos
1829,The Incredible Cartman,Alter Egos
1830,Captain America Stan,Alter Egos
1831,Captain America on FaceTime,Alter Egos
1832,Mexican Stan,Alter Egos
1833,Mexican Kyle,Alter Egos
1834,Mantequilla (Butters),Alter Egos
1835,Mexican Jimmy,Alter Egos
1836,Mexican Token,Alter Egos
1837,Mexican Kenny,Alter Egos
1838,Border Patrol Cartman,Alter Egos
1839,Border Patrol Clyde,Alter Egos
1840,Border Patrol Craig,Alter Egos
1841,Border Patrol Dog Poo,Alter Egos
1842,Border Patrol Jason,Alter Egos
1843,Border Patrol Timmy,Alter Egos
1844,South Park Ninja Clan,Alter Egos
1845,South Park Ninja Clan,Alter Egos
1846,South Park Ninja Clan,Alter Egos
1847,South Park Ninja Clan,Alter Egos
1848,South Park Ninja Clan,Alter Egos
1849,South Park Ninja Clan,Alter Egos
1850,South Park Ninja Clan,Alter Egos
1851,South Park Ninja Clan,Alter Egos
1852,South Park Ninja Clan,Alter Egos
1853,South Park Ninja Clan,Alter Egos
1854,South Park Ninja Clan,Alter Egos
1855,Douche,Alter Egos
1856,Harbucks Camel,Alter Egos
1857,Hoppy,Alter Egos
1858,Mooey,Alter Egos
1859,Oinky,Alter Egos
1860,Sexual Harassment Panda,Alter Egos
1861,Suzette,Alter Egos
1862,Turd Sandwich,Alter Egos
1863,Whistlin' Willy,Alter Egos
1864,Unmasked Whistlin' Willy,Alter Egos
1865,Willy,Alter Egos
1866,Woodsy Owl,Alter Egos
1867,Antonio Banderas Blowup Doll,Alter Egos
1868,Doll With Bush,Alter Egos
1869,Clyde Frog,Alter Egos
1870,Peter Panda,Alter Egos
1871,Polly Prissy Pants,Alter Egos
1872,Precious,Alter Egos
1873,Muscle Man Marc,Alter Egos
1874,Rumper Tumpskin,Alter Egos
1875,Stop Touching Me Elmo,Alter Egos
1876,Karen's Dollie,Alter Egos
1877,The Boys,Groups
1878,The Boys (Preschool),Groups
1879,The Avengers,Groups
1880,The Boys Churchwear,Groups
1881,Faith + 1,Groups
1882,The Fellowship of the Lord of the Rings,Groups
1883,Fingerbang,Groups
1884,Laundromat Boys,Groups
1885,Live-Action Actors,Groups
1886,Live-Action Boys (Grounded Vindaloop),Groups
1887,The Llama Brothers,Groups
1888,Metrosexual Boys,Groups
1889,Moop,Groups
1890,Ninjas of Tokugawa,Groups
1891,Obese World of Warcraft Boys,Groups
1892,Flashback Pee-Wee Hockey Team,Groups
1893,South Park Children's Choir (The City Part of Town),Groups
1894,South Park Junior Detectives,Groups
1895,Super Awesome Talent Agency,Groups
1896,The Washington Redskins (Company),Groups
1897,World Takedown Federation,Groups
1898,Craig and Those Guys,Groups
1899,Craig's Metrosexual Gang,Groups
1900,Craig's Ninja Gang,Groups
1901,Emo Kids,Groups
1902,Federation Kids,Groups
1903,FBI Kids,Groups
1904,Ginger Kids,Groups
1905,Glee Club,Groups
1906,Goth Kids,Groups
1907,Harry Potter Kids,Groups
1908,Mall Kids,Groups
1909,The Melvins,Groups
1910,Orange County Dance Crew,Groups
1911,Pleases and Sparkles Club,Groups
1912,Purity Ring Kids,Groups
1913,Raisins Girls,Groups
1914,Sixth Graders,Groups
1915,Tardicaca Campers,Groups
1916,Ugly Kids,Groups
1917,Vampire Kids,Groups
1918,1974 Kids (Insheeption),Groups
1919,Afghan Boys,Groups
1920,Billy Thompson and Friends,Groups
1921,Fort Collins Team,Groups
1922,Denver Team,Groups
1923,Camp New Grace Kids,Groups
1924,The Foley Kids,Groups
1925,Quints,Groups
1926,The Krips,Groups
1927,Tourettes Kids,Groups
1928,Weatherheads' Kids,Groups
1929,Canadian Kids (Where My Country Gone?),Groups
1930,City Wok Child Labor,Groups
1931,Cows Boys' Basketball Players,Groups
1932,Cows Cheerleaders,Groups
1933,Cows Dodgeball Players,Groups
1934,Cows Football Players,Groups
1935,Cows Girls' Volleyball Players,Groups
1936,Cows Sarcastaball Players,Groups
1937,Adams County Pee-Wee Hockey Team,Groups
1938,Baseball Team,Groups
1939,Chinese Dodgeball Players,Groups
1940,Getting Gay With Kids,Groups
1941,Jew Scouts,Groups
1942,La Resistance,Groups
1943,Park County Pee-Wee Hockey Team,Groups
1944,South Park Diggities,Groups
1945,South Park Pirate Club,Groups
1946,Volleyball Eagles,Groups
1947,Bill Clinton's Gentlemans' Club,Groups
1948,The Bloods,Groups
1949,The Crips,Groups
1950,The HandiCaps,Groups
1951,Hare Club for Men,Groups
1952,Kickstarter,Groups
1953,Latin Dads (South Park is Gay),Groups
1954,Metrosexual Dads,Groups
1955,Mothers Against Canada,Groups
1956,Mountain Scouts,Groups
1957,The National Association of Marlon Brando Look-Alikes,Groups
1958,PC Delta Fraternity,Groups
1959,South Park Committee,Groups
1960,Tardicaca Camp Counselors,Groups
1961,True Freaks Union,Groups
1962,TV/Movie Executives,Groups
1963,Wolf Home Security,Groups
1964,Secret Society of Cynics,Groups
1965,PETA,Groups
1966,Psychics,Groups
1967,Yelpers,Groups
1968,Butt Out! (group),Groups
1969,Ghetto Avenue Boys,Groups
1970,Lords of the Underworld,Groups
1971,Terrorists,Groups
1972,Burger King Bandits,Groups
1973,Banes,Groups
1974,Harley Riders,Groups
1975,Terrorists,Groups
1976,Ku Klux Klan,Groups
1977,Legion of Doom,Groups
1978,Red Box Killers,Groups
1979,Restaraunteer Terrorists,Groups
1980,Super Adventure Club,Groups
1981,Three Escaped Convicts,Groups
1982,1989 Denver Broncos,Groups
1983,Colorado Avalanche,Groups
1984,Denver Broncos,Groups
1985,Denver Broncos Cheerleaders,Groups
1986,Denver Broncos Fans,Groups
1987,Denver Nuggets,Groups
1988,Detroit Red Wings,Groups
1989,Dallas Cowboys Cheerleaders,Groups
1990,Dallas Cowboys Fans,Groups
1991,Dallas Cowboys,Groups
1992,Kansas City Chiefs,Groups
1993,Los Angeles Clippers,Groups
1994,Miami Dolphins,Groups
1995,Oakland Raiders,Groups
1996,New England Patriots,Groups
1997,Pittsburgh Steelers,Groups
1998,Washington Redskins,Groups
1999,Blainetologists,Groups
2000,Christians,Groups
2001,Church of Scientology,Groups
2002,Jews,Groups
2003,Mormons (Heaven),Groups
2004,Muslims,Groups
2005,Allied Atheist Alliance,Groups
2006,Unified Atheist League,Groups
2007,United Atheist Alliance,Groups
2008,Australians,Groups
2009,Chinese People,Groups
2010,Costa Ricans,Groups
2011,The Danish,Groups
2012,Ethiopians,Groups
2013,The French,Groups
2014,Goobacks (group),Groups
2015,The Japanese (Whale Whores),Groups
2016,Mexicans,Groups
2017,New Yorkers,Groups
2018,Iraqi People,Groups
2019,Persian People,Groups
2020,Romanian officials,Groups
2021,"Mr. Vladchick, the Quints' father",Groups
2022,Grandmama Vladchick,Groups
2023,Siberians,Groups
2024,Citizens of Imaginationland,Groups
2025,Council of Nine (Imaginationland),Groups
2026,Knights of Standards and Practices,Groups
2027,The Three Murderers,Groups
2028,Frosty the Snowman,Pilot Characters
2029,Nurse McSchwartz,Pilot Characters
2030,Cartman's Dad,Pilot Characters
2031,Cartman's Sister,Pilot Characters
